candidate_id,relevance_label,TF-IDF full-resume retrieval,TF-IDF section-aware retrieval,TF-IDF full-resume + hybrid reranking,TF-IDF section-aware + hybrid reranking
resume_01,2,47,50,29,30
resume_02,2,10,5,10,8
resume_03,3,9,7,7,5
resume_04,2,29,18,33,32
resume_05,3,17,35,8,9
resume_06,1,12,15,40,40
resume_07,1,32,28,43,43
resume_08,0,46,47,50,50
resume_09,0,27,36,39,39
resume_10,2,23,38,11,12
resume_11,3,6,8,2,2
resume_12,3,15,33,23,23
resume_13,1,4,20,36,37
resume_14,2,2,12,18,22
resume_15,1,41,42,27,27
resume_16,0,30,4,48,47
resume_17,2,1,2,9,7
resume_18,2,11,19,25,25
resume_19,3,24,30,3,3
resume_20,1,16,14,44,44
resume_21,2,25,22,34,34
resume_22,3,7,32,6,10
resume_23,2,34,43,26,26
resume_24,3,39,46,14,14
resume_25,0,21,17,49,49
resume_26,2,5,1,22,17
resume_27,0,50,16,46,46
resume_28,2,44,41,38,38
resume_29,3,38,31,19,20
resume_30,2,22,39,24,24
resume_31,3,33,37,4,4
resume_32,2,13,6,15,13
resume_33,1,40,49,41,42
resume_34,2,14,21,20,21
resume_35,3,8,23,1,1
resume_36,2,42,27,30,29
resume_37,3,31,26,5,6
resume_38,1,43,45,32,33
resume_39,1,49,48,42,41
resume_40,2,36,9,12,11
resume_41,0,48,10,45,45
resume_42,0,35,25,47,48
resume_43,2,19,13,17,19
resume_44,2,26,40,31,31
resume_45,3,28,11,21,18
resume_46,1,20,29,35,35
resume_47,3,45,44,16,15
resume_48,2,37,24,28,28
resume_49,2,18,34,13,16
resume_50,1,3,3,37,36
